id,name,armor_type,gender,hunter_type,hunter_rank,village_rank,rarity,defense,max_defense,fire_res,water_res,thunder_res,ice_res,dragon_res,num_slots,skill_1,skill_1_points,skill_2,skill_2_points,skill_3,skill_3_points,skill_4,skill_4_points,skill_5,skill_5_points,price,a_recipe_item_1,a_recipe_item_1_qty,a_recipe_item_2,a_recipe_item_2_qty,a_recipe_item_3,a_recipe_item_3_qty,a_recipe_item_4,a_recipe_item_4_qty,b_recipe_item_1,b_recipe_item_1_qty,b_recipe_item_2,b_recipe_item_2_qty
17,Vespoid Leggings,LEGS,Male/Female,Gunner,1,1,3,10,56,-5,-4,5,-3,2,1,Paralysis,2,Everlastng,2,Backpackng,4,Poison,-1,,,1150,Vespoid Shell,2,Disk Stone,3,Monster Fluid,1,,,,,,
18,Hi-Metal Greaves,LEGS,Male/Female,Blademaster,1,1,3,20,106,-2,-2,3,-1,0,1,Health,3,Gunnery,3,Whim,1,Stamina,-2,,,1150,Machalite Ore,3,Iron Ore,3,Velociprey Hide,3,,,Plus Class Tcket,1,Iron Ore,1
19,Hi-Metal Leggings,LEGS,Male/Female,Gunner,1,1,3,10,56,0,0,5,0,0,1,Health,3,Gunnery,3,Crag S Add,1,Stamina,-2,,,1150,Machalite Ore,3,Iron Ore,3,Velociprey Hide,3,,,Plus Class Tcket,1,Iron Ore,1
20,Hornet Greaves,LEGS,Male/Female,Blademaster,1,2,3,22,106,-6,-1,-5,-5,2,2,Dragon Res,2,HearProtct,2,Protection,-2,Gathering,1,,,1350,Hornetaur Wing,3,Hornetaur Shell,3,Earth Crystal,4,Killer Beetle,1,,,,
21,Hornet Leggings,LEGS,Male/Female,Gunner,1,2,3,11,57,-5,2,-3,-4,3,1,Dragon Res,2,HearProtct,3,Protection,-2,Gathering,2,,,1350,Hornetaur Wing,3,Hornetaur Shell,3,Earth Crystal,4,Killer Beetle,1,,,,
22,Genprey Greaves,LEGS,Male/Female,Blademaster,1,2,3,22,106,2,-2,3,-2,-1,0,Torso Inc,,,,,,,,,,1350,Gendrome Hide,1,Genprey Scale,4,Iron Ore,3,Disk Stone,2,,,,
23,Genprey Leggings,LEGS,Male/Female,Gunner,1,2,3,11,57,4,0,5,0,0,0,Torso Inc,,,,,,,,,,1350,Gendrome Hide,1,Genprey Scale,4,Iron Ore,3,Disk Stone,2,,,,
24,Pink Metal Boots,LEGS,Female,Blademaster/Gunner,10,6,3,24,58,2,-2,0,0,0,2,Antiseptic,5,Sneak,-2,,,,,,,3300,Hard Ticket,1,Dragonite Ore,1,,,,,,,,
25,Chrome Metal Boots,LEGS,Male/Female,Blademaster/Gunner,10,6,3,24,58,2,-2,0,0,0,0,Torso Inc,,,,,,,,,,3630,Hard Ticket,1,Dragonite Ore,1,,,,,,,,
26,Ioprey Greaves,LEGS,Male/Female,Blademaster,1,3,3,24,106,3,2,-2,1,-1,1,Poison,3,Health,4,Fatigue,1,Faint,-1,,,1650,Ioprey Hide,2,Ioprey Scale,3,Earth Crystal,3,Iron Ore,3,,,,
27,Ioprey Leggings,LEGS,Male/Female,Gunner,1,3,3,12,56,4,3,0,2,0,1,Poison,3,PelletSAdd,4,Fatigue,1,Faint,-1,,,1650,Ioprey Hide,2,Ioprey Scale,3,Earth Crystal,3,Iron Ore,3,,,,
28,Kut-Ku Greaves,LEGS,Male/Female,Blademaster,1,2,3,24,106,2,-2,0,-2,-1,1,Attack,3,Health,2,Fire Res,2,Defense,-1,Water Res,-1,1650,Kut-Ku Ear,2,Kut-Ku Shell,2,Kut-Ku Webbing,2,Giaprey Hide,2,,,,
29,Kut-Ku Leggings,LEGS,Male/Female,Gunner,1,2,3,12,56,5,1,3,-1,0,1,Attack,3,Health,2,Fire Res,2,Defense,-1,Water Res,-1,1650,Kut-Ku Ear,2,Kut-Ku Shell,2,Kut-Ku Webbing,2,Giaprey Hide,2,,,,
30,Cephalos Greaves,LEGS,Male/Female,Blademaster,1,2,3,28,106,-3,2,-4,2,0,2,Heat Res,4,Hunger,1,Cold Res,-2,,,,,2350,Cephalos Scale,4,Piscine Fang,3,Iron Ore,4,Carpenterbug,3,,,,
31,Cephalos Leggings,LEGS,Male/Female,Gunner,1,2,3,16,56,-1,5,-2,3,1,1,Heat Res,4,Hunger,3,Cold Res,-2,,,,,2350,Cephalos Scale,4,Piscine Fang,3,Iron Ore,4,Carpenterbug,3,,,,
32,Conga Greaves,LEGS,Male/Female,Blademaster,1,2,3,28,106,-3,2,2,-1,0,1,BombStrUp,2,Antiseptic,2,Hunger,-2,Gluttony,3,,,2350,Conga Pelt,4,Bulldrome Hide,2,Giant Bone,1,Machalite Ore,2,,,,
33,Conga Leggings,LEGS,Male/Female,Gunner,1,2,3,16,56,-1,4,4,0,1,1,NormalS Up,2,Antiseptic,2,Hunger,-2,Gluttony,3,,,2350,Conga Pelt,4,Bulldrome Hide,2,Giant Bone,1,Machalite Ore,2,,,,
34,Gypceros Greaves,LEGS,Male/Female,Blademaster,1,3,3,30,106,-4,1,4,1,0,1,Poison,3,ThunderRes,2,Stamina,2,Hunger,-2,,,2850,Dragonite Ore,2,Antiseptic Stone,2,Genprey Hide,3,Rubbery Hide,3,,,,
35,Gypceros Leggings,LEGS,Male/Female,Gunner,1,3,3,16,56,-1,4,6,3,0,1,Poison,3,ThunderRes,2,Stamina,2,Hunger,-2,,,2850,Dragonite Ore,2,Antiseptic Stone,2,Genprey Hide,3,Rubbery Hide,3,,,,
36,Khezu Greaves,LEGS,Male/Female,Blademaster,1,3,3,32,106,-3,3,4,1,0,1,Rec Speed,3,Wide Area,2,Horn,2,Faint,-2,,,3350,Flabby Hide,2,Machalite Ore,2,Bullfango Pelt,3,,,,,,
37,Khezu Leggings,LEGS,Male/Female,Gunner,1,3,3,16,56,-1,5,6,2,0,1,Rec Speed,3,Wide Area,2,Shot Mix,2,Faint,-2,,,3350,Flabby Hide,2,Machalite Ore,2,Bullfango Pelt,3,,,,,,
38,Hermitaur Greaves,LEGS,Male/Female,Blademaster,1,3,3,32,106,-3,3,-4,0,1,1,Defense,3,Guard,1,Throw,2,ThunderRes,-3,,,3350,Hermitaur Claw,1,Sm Hermitaur Shl,4,Bulldrome Hide,2,Machalite Ore,2,,,,
39,Hermitaur Leggings,LEGS,Male/Female,Gunner,1,3,3,16,56,-1,5,-2,1,2,1,Defense,3,Guard Up,1,Throw,2,ThunderRes,-3,,,3350,Hermitaur Claw,1,Sm Hermitaur Shl,4,Bulldrome Hide,2,Machalite Ore,2,,,,
40,Plesioth Greaves,LEGS,Male/Female,Blademaster,1,3,3,34,106,-4,4,-4,2,0,1,Stamina,3,Heat Res,2,Cold Res,2,Paralysis,-2,,,4150,Plesioth Fin,1,Machalite Ore,2,Cephalos Scale,3,Plesioth Scale,3,,,,
41,Plesioth Leggings,LEGS,Male/Female,Gunner,1,3,3,17,57,-2,6,-2,3,1,1,Stamina,3,Heat Res,2,Cold Res,2,Paralysis,-2,,,4150,Plesioth Fin,1,Machalite Ore,2,Cephalos Scale,3,Plesioth Scale,3,,,,
42,Lobster Greaves,LEGS,Male/Female,Blademaster,1,3,3,34,106,-2,6,-6,2,-2,1,Evade,3,Fishing,3,Water Res,1,Guard,-2,,,4150,Sm Lobstershell,1,Plesioth Fin,1,Carpenterbug,3,Disk Stone,6,,,,
43,Lobster Leggings,LEGS,Male/Female,Gunner,1,3,3,17,57,0,6,-5,3,0,1,Evade,3,Fishing,3,Water Res,1,Precision,-2,,,4150,Sm Lobstershell,1,Plesioth Fin,1,Carpenterbug,3,Disk Stone,6,,,,
44,Kut-Ku Greaves D,LEGS,Male/Female,Blademaster,1,3,3,22,106,2,-2,0,-2,-1,2,Attack,2,Expert,2,ElementAtk,1,Rec Speed,-1,Health,-1,1650,Kut-Ku Ear,2,Blue Kut-Ku Shl,2,Kut-Ku Webbing,2,Giaprey Hide,2,,,,
45,Kut-Ku Leggings D,LEGS,Male/Female,Gunner,1,3,3,10,56,5,1,3,-1,0,2,Attack,2,Expert,2,ElementAtk,1,Rec Speed,-1,Health,-1,1650,Kut-Ku Ear,2,Blue Kut-Ku Shl,2,Kut-Ku Webbing,2,Giaprey Hide,2,,,,
46,Gypceros Greaves D,LEGS,Male/Female,Blademaster,2,3,3,28,106,-4,1,4,1,0,2,Faint,3,Wide Area,2,WindPress,1,Fate,-1,,,2850,Pur Rubbery Hide,3,Antiseptic Stone,2,Genprey Hide,3,Hercudrome,2,,,,
47,Gypceros Leggings D,LEGS,Male/Female,Gunner,2,3,3,14,56,-1,4,6,3,0,2,Faint,3,Wide Area,2,WindPress,1,Fate,-1,,,2850,Pur Rubbery Hide,3,Antiseptic Stone,2,Genprey Hide,3,Hercudrome,2,,,,
48,Khezu Greaves D,LEGS,Male/Female,Blademaster,2,4,3,30,106,3,-3,4,0,0,2,Recovery,2,Wide Area,3,SwdShrpner,-2,,,,,3350,Alluring Hide,2,Machalite Ore,2,Bullfango Pelt,3,,,,,,
49,Khezu Leggings D,LEGS,Male/Female,Gunner,2,4,3,14,56,5,-1,6,1,0,2,Recovery,2,Wide Area,3,MixSucRate,-2,,,,,3350,Alluring Hide,2,Machalite Ore,2,Bullfango Pelt,3,,,,,,
50,Plesioth Greaves D,LEGS,Male/Female,Blademaster,2,3,3,32,106,-4,4,-4,2,0,2,Hunger,2,Everlastng,2,Poison,-2,Fishing,1,,,4150,Grn Plesioth Scl,3,Monster Fluid,1,Earth Crystal,4,Grn Plesioth Fin,1,,,,
51,Plesioth Leggings D,LEGS,Male/Female,Gunner,2,3,3,15,57,-2,6,-2,3,1,2,Hunger,2,Everlastng,2,Poison,-2,Fishing,1,,,4150,Grn Plesioth Scl,3,Monster Fluid,1,Earth Crystal,4,Grn Plesioth Fin,1,,,,
52,Basarios Greaves,LEGS,Male/Female,Blademaster,2,4,4,32,106,0,2,2,1,-2,2,Terrain,2,Sleep,2,Whim,1,Defense,1,Faint,-1,3350,Basarios Shell,3,Machalite Ore,5,Poison Sac,3,Genprey Hide,5,,,,
53,Basarios Leggings,LEGS,Male/Female,Gunner,2,4,4,16,56,2,4,4,2,0,1,Terrain,2,Sleep,2,Whim,2,Defense,2,Faint,-1,3350,Basarios Shell,3,Machalite Ore,5,Poison Sac,3,Genprey Hide,5,,,,
54,Monoblos Greaves,LEGS,Male/Female,Blademaster,10,4,4,36,106,2,-1,-2,-1,-1,1,Attack,2,Potential,2,Health,3,Protection,-2,,,4900,Monoblos Spine,2,Blood Red Horn,1,Monoblos Shell,3,Machalite Ore,4,,,,
55,Monoblos Leggings,LEGS,Male/Female,Gunner,10,4,4,18,56,4,2,0,0,0,1,Attack,2,Potential,2,Health,3,Protection,-2,,,4900,Monoblos Spine,2,Blood Red Horn,1,Monoblos Shell,3,Machalite Ore,4,,,,
56,Garuga Greaves,LEGS,Male/Female,Blademaster,10,4,4,36,106,2,0,2,0,0,1,Sharpness,3,Expert,2,HearProtct,2,Gathering,-2,,,4900,Garuga Scale,5,Garuga Shell,4,Carpenterbug,4,Gendrome Hide,2,,,,
57,Garuga Leggings,LEGS,Male/Female,Gunner,10,4,4,18,56,3,2,3,1,0,1,PierceSAdd,3,Expert,2,HearProtct,2,Gathering,-2,,,4900,Garuga Scale,5,Garuga Shell,4,Carpenterbug,4,Gendrome Hide,2,,,,
58,Blango Greaves,LEGS,Male/Female,Blademaster,2,4,4,36,106,-4,2,0,3,1,2,Cold Res,1,Snow Res,2,Quake Res,2,Terrain,-2,,,4900,Blangonga Whiskr,1,Sharp Claw,5,Brute Bone,4,Anteka Pelt,2,,,,
59,Blango Leggings,LEGS,Male/Female,Gunner,2,4,4,18,56,-3,4,1,5,2,1,Cold Res,3,Snow Res,2,Quake Res,2,Terrain,-2,,,4900,Blangonga Whiskr,1,Sharp Claw,5,Brute Bone,4,Anteka Pelt,2,,,,
60,Ceanataur Greaves,LEGS,Male/Female,Blademaster,1,4,4,37,107,1,2,-1,-1,0,2,Sharpness,2,SwdShrpner,2,Artisan,1,Defense,-2,,,5200,Ceanataur Leg,2,Ceanataur Shell,3,Machalite Ore,3,Killer Beetle,1,,,,
61,Ceanataur Leggings,LEGS,Male/Female,Gunner,1,4,4,18,56,2,4,0,0,2,1,PierceS Up,3,Precision,2,PierceSAdd,1,Defense,-3,,,5200,Ceanataur Leg,2,Ceanataur Shell,3,Machalite Ore,3,Killer Beetle,1,,,,
62,Rathian Greaves,LEGS,Male/Female,Blademaster,1,6,4,38,108,2,0,-2,0,-4,2,Health,3,Poison,2,Faint,-1,PsychicVis,1,,,5350,Monster Bone+,1,Rathian Shell,3,Rathian Scale,2,Machalite Ore,2,,,,
63,Rathian Leggings,LEGS,Male/Female,Gunner,1,6,4,18,58,4,2,0,2,-2,1,Health,3,Poison,2,Faint,-1,PsychicVis,3,,,5350,Monster Bone+,1,Rathian Shell,3,Rathian Scale,2,Machalite Ore,2,,,,
64,Tigrex Greaves,LEGS,Male/Female,Blademaster,3,5,4,40,108,3,2,-2,3,-1,1,Cooking,2,HearProtct,2,Protection,-2,PsychicVis,3,,,5800,Tigrex Scale,3,Tigrex Fang,3,Tigrex Shell,2,Dragonite Ore,2,,,,
65,Tigrex Leggings,LEGS,Male/Female,Gunner,3,5,4,20,58,4,3,-1,4,0,1,Cooking,2,HearProtct,2,Protection,-2,PsychicVis,3,,,5800,Tigrex Scale,3,Tigrex Fang,3,Tigrex Shell,2,Dragonite Ore,2,,,,
66,Rathalos Greaves,LEGS,Male/Female,Blademaster,1,6,4,40,108,2,-1,2,-3,-4,1,Attack,4,PsychicVis,2,Paralysis,-2,Rec Speed,1,,,5800,Rathalos Shell,3,Rathalos Scale,2,Fire Wyvern Claw,2,Machalite Ore,2,,,,
67,Rathalos Leggings,LEGS,Male/Female,Gunner,1,6,4,20,58,4,0,5,-1,-2,1,Attack,4,PsychicVis,2,Paralysis,-2,Rec Speed,1,,,5800,Rathalos Shell,3,Rathalos Scale,2,Fire Wyvern Claw,2,Machalite Ore,2,,,,
68,Diablo Greaves,LEGS,Male/Female,Blademaster,3,5,4,40,108,3,-1,1,-2,0,1,WindPress,2,Expert,4,Health,-2,Fate,-1,,,5800,Diablos Shell,3,Diablos Spine,2,Machalite Ore,4,Dragonite Ore,3,,,,
69,Diablo Leggings,LEGS,Male/Female,Gunner,3,5,4,20,58,5,2,4,-1,0,1,WindPress,2,Expert,4,Health,-2,Fate,-1,,,5800,Diablos Shell,3,Diablos Spine,2,Machalite Ore,4,Dragonite Ore,3,,,,
70,Gravios Greaves,LEGS,Male/Female,Blademaster,3,5,4,40,108,2,-2,2,0,-2,2,Guard,2,Sleep,2,Stamina,-2,Defense,1,,,5800,Gravios Shell,5,Flame Sac,3,Monster Bone+,2,Iodrome Hide,2,,,,
71,Gravios Leggings,LEGS,Male/Female,Gunner,3,5,4,20,58,4,1,3,1,0,2,ClustS Add,2,Sleep,3,Stamina,-2,,,,,5800,Gravios Shell,5,Flame Sac,3,Monster Bone+,2,Iodrome Hide,2,,,,
72,Diablo Greaves D,LEGS,Male/Female,Blademaster,3,5,4,38,108,3,-1,1,-2,0,2,WindPress,3,Sharpness,2,Fate,-1,Defense,-1,,,5800,Black Blos Shell,3,Black Blos Spine,2,Machalite Ore,4,Dragonite Ore,3,,,,
73,Diablo Leggings D,LEGS,Male/Female,Gunner,3,5,4,18,58,5,2,4,-1,0,2,WindPress,3,Reload,2,Fate,-1,Hunger,-1,,,5800,Black Blos Shell,3,Black Blos Spine,2,Machalite Ore,4,Dragonite Ore,3,,,,
74,Gravios Greaves D,LEGS,Male/Female,Blademaster,3,5,4,38,108,2,-2,2,1,0,2,Guard Up,2,Defense,3,Hunger,-2,,,,,5800,Blk Gravios Shl,5,Flame Sac,3,Monster Bone+,2,Rubbery Hide,2,,,,
75,Gravios Leggings D,LEGS,Male/Female,Gunner,3,5,4,18,58,4,1,3,2,0,2,Guard Up,2,Defense,3,Hunger,-2,,,,,5800,Blk Gravios Shl,5,Flame Sac,3,Monster Bone+,2,Rubbery Hide,2,,,,
76,Mosswine Feet,LEGS,Male/Female,Blademaster/Gunner,1,2,5,3,55,0,0,0,0,0,1,Gluttony,2,Cooking,2,Health,2,Hunger,-3,,,100,Mosswine Hide,2,Bullfango Pelt,1,Bulldrome Hide,1,Carpenterbug,1,,,,
77,Giaprey Feet,LEGS,Male/Female,Blademaster/Gunner,1,2,5,16,56,0,2,2,3,-2,2,Ice Res,2,Fate,3,Fire Res,-2,,,,,700,Giadrome Hide,2,Giadrome Claw,2,Giaprey Scale,3,Kut-Ku Coin,1,,,,
78,Velociprey Feet,LEGS,Male/Female,Blademaster/Gunner,1,2,5,18,56,1,1,1,1,1,2,Water Res,2,Fate,3,ThunderRes,-2,,,,,900,Velocidrome Hide,2,Velocidrome Claw,2,Velociprey Scale,3,Congalala Coin,1,,,,
79,(dummy) Famitsu Cloth Wrap,LEGS,Male,Blademaster/Gunner,6,5,5,20,56,2,2,2,2,2,0,Protection,5,Sleep,6,,,,,,,1150,(dummy) Famitsu Ticket,5,Commendation,1,ShakalakaTreasre,2,Blackbelt Ticket,6,,,,
80,(dummy) Famitsu Shorts,LEGS,Female,Blademaster/Gunner,6,5,5,20,56,2,2,2,2,2,0,Protection,5,Sleep,6,,,,,,,1150,(dummy) Famitsu Ticket,5,Commendation,1,ShakalakaTreasre,2,Blackbelt Ticket,6,,,,
81,Genprey Feet,LEGS,Male/Female,Blademaster/Gunner,1,3,5,20,56,1,1,2,1,1,2,ThunderRes,2,Fate,3,Ice Res,-2,,,,,1150,Gendrome Hide,2,Genprey Fang,4,Genprey Scale,3,Khezu Coin,1,,,,
82,Black Belt Greaves,LEGS,Male/Female,Blademaster/Gunner,1,3,5,20,56,2,2,2,2,2,2,Artisan,2,Capacity,2,Gluttony,1,Map,-2,,,3300,Khezu Coin,8,Blackbelt Ticket,8,Killer Beetle,2,Congalala Coin,10,,,,
83,Shinobi Boots (Sun),LEGS,Male/Female,Blademaster/Gunner,3,6,5,20,56,2,-6,4,-3,2,1,Evade,3,ElementAtk,2,Cold Res,-2,Throw,2,,,9800,Gaoren Spine,1,Blackbelt Ticket,3,Pokke Ticket,1,Pnk Rathian Scl,5,,,,
84,Shinobi Boots (Moon),LEGS,Male/Female,Blademaster/Gunner,3,6,5,20,56,2,-6,4,-3,2,2,Hunger,2,Sneak,2,Heat Res,-2,PsychicVis,1,,,9800,Gaoren Spine,1,Blackbelt Ticket,3,Pokke Ticket,1,Pnk Rathian Scl,5,,,,
85,Guild Knight Boots,LEGS,Male,Blademaster/Gunner,3,4,5,20,56,0,0,0,0,0,1,Whim,3,Fate,2,PsychicVis,2,BBQ,-2,,,9800,Commendation,1,Great Ladybug,4,FlynMealPassReg,1,Kut-Ku Coin,3,,,,
86,Maiden's Stockings,LEGS,Female,Blademaster/Gunner,3,4,5,20,56,0,0,0,0,0,1,Whim,3,Fate,2,PsychicVis,2,BBQ,-2,,,9800,Commendation,1,Great Ladybug,4,FlynMealPassReg,1,Kut-Ku Coin,3,,,,
87,Guild Knight Tights,LEGS,Male,Blademaster/Gunner,3,5,5,20,56,0,0,0,0,0,1,Carving,3,PelletS Up,2,Precision,2,Fate,-2,,,9800,Commendation,1,Great Ladybug,4,FlynMealPassReg,1,Congalala Coin,3,,,,
88,Personal Tights,LEGS,Female,Blademaster/Gunner,3,5,5,20,56,0,0,0,0,0,1,Carving,3,PelletS Up,2,Precision,2,Fate,-2,,,9800,Commendation,1,Great Ladybug,4,FlynMealPassReg,1,Congalala Coin,3,,,,
89,Guardian Boots,LEGS,Male,Blademaster/Gunner,3,4,5,20,56,0,0,0,0,0,2,Protection,2,Gunnery,3,Fate,1,Gathering,-1,,,9800,Lightcrystal,2,Great Ladybug,4,Blackbelt Ticket,2,Gravios Coin,3,,,,
90,Helper Socks,LEGS,Female,Blademaster/Gunner,3,4,5,20,56,0,0,0,0,0,2,Protection,2,Gunnery,3,Fate,1,Gathering,-1,,,9800,Lightcrystal,2,Great Ladybug,4,Blackbelt Ticket,2,Gravios Coin,3,,,,
91,Guardian Pants,LEGS,Male,Blademaster/Gunner,3,5,5,20,56,0,0,0,0,0,1,Protection,2,Wide Area,3,Fate,2,Gathering,-2,,,9800,Lightcrystal,2,Great Ladybug,4,Blackbelt Ticket,2,Tigrex Coin,3,,,,
92,Healer Socks,LEGS,Female,Blademaster/Gunner,3,5,5,20,56,0,0,0,0,0,1,Protection,2,Wide Area,3,Fate,2,Gathering,-2,,,9800,Lightcrystal,2,Great Ladybug,4,Blackbelt Ticket,2,Tigrex Coin,3,,,,
93,Ioprey Feet,LEGS,Male/Female,Blademaster/Gunner,1,3,5,22,56,2,1,1,1,1,2,Fire Res,2,Fate,3,Water Res,-2,,,,,1350,Iodrome Hide,2,Ioprey Fang,4,Ioprey Scale,3,Daimyo Coin,1,,,,
94,Remobra Feet,LEGS,Male/Female,Blademaster/Gunner,1,2,5,24,58,0,-1,-1,-1,-1,0,Artisan,2,PierceS Up,2,Stamina,3,All Resist,-2,Poison,2,1650,Striped Skin,5,FireWyvern Fluid,2,Killer Beetle,2,Machalite Ore,3,,,,
95,Melahoa Roots,LEGS,Male/Female,Blademaster,1,1,5,20,106,0,1,1,0,0,1,Gathering,3,HiSpdGathr,2,Stamina,1,Hunger,-1,Recovery,2,1150,Dosbiscus,2,Carpenterbug,3,Antidote Herb,3,Immunizer,2,,,,
96,Melahoa Taproot,LEGS,Male/Female,Gunner,1,1,5,10,56,0,2,1,0,0,1,Gathering,3,HiSpdGathr,2,Stamina,1,Hunger,-1,Recovery,2,1150,Dosbiscus,2,Carpenterbug,3,Antidote Herb,3,Immunizer,2,,,,
97,Makluva Pants,LEGS,Male/Female,Blademaster,1,2,5,28,106,0,2,-2,0,0,1,Alchemy,2,MixSucRate,3,Fishing,2,Spc Attack,2,,,2350,Cephalos Fin,3,Springnight Carp,2,Glutton Tuna,2,Book of Combos 1,1,,,,
98,Makluva Leggings,LEGS,Male/Female,Gunner,1,2,5,16,56,0,3,-1,0,0,1,Alchemy,2,MixSucRate,3,Fishing,2,Spc Attack,2,,,2350,Cephalos Fin,3,Springnight Carp,2,Glutton Tuna,2,Book of Combos 1,1,,,,
99,Hypno Greaves,LEGS,Male/Female,Blademaster,7,10,5,32,106,-2,2,0,1,1,1,Sleep,2,Tranquilzr,3,Perceive,2,Sneak,-2,,,3350,Hypno Ticket,1,OrangeHypnoPelt+,3,Hypno Claw+,2,Bullfango Pelt,4,,,,
100,Hypno Leggings,LEGS,Male/Female,Gunner,7,10,5,16,56,0,4,2,3,2,1,SleepCAdd,2,Tranquilzr,3,Perceive,2,Sneak,-2,,,3350,Hypno Ticket,1,OrangeHypnoPelt+,3,Hypno Claw+,2,Bullfango Pelt,4,,,,
101,Obituary Gamba,LEGS,Male,Blademaster,1,6,5,32,106,3,-5,3,-4,2,1,Evade,3,Spc Attack,2,Backpackng,2,Cold Res,-2,,,3350,Great Hornfly,1,Hercudrome,1,Monster Fluid,3,FireWyvern Fluid,4,,,,
102,Butterfly Gamba,LEGS,Female,Blademaster,1,6,5,32,106,3,-5,3,-4,2,1,Evade,3,Spc Attack,2,Backpackng,2,Cold Res,-2,,,3350,Great Hornfly,1,Hercudrome,1,Monster Fluid,3,FireWyvern Fluid,4,,,,
