id,name,armor_type,gender,hunter_type,hunter_rank,village_rank,rarity,defense,max_defense,fire_res,water_res,thunder_res,ice_res,dragon_res,num_slots,skill_1,skill_1_points,skill_2,skill_2_points,skill_3,skill_3_points,skill_4,skill_4_points,skill_5,skill_5_points,price,a_recipe_item_1,a_recipe_item_1_qty,a_recipe_item_2,a_recipe_item_2_qty,a_recipe_item_3,a_recipe_item_3_qty,a_recipe_item_4,a_recipe_item_4_qty,b_recipe_item_1,b_recipe_item_1_qty,b_recipe_item_2,b_recipe_item_2_qty
38,Khezu Coat,WAIST,Male/Female,Gunner,1,3,3,16,56,-1,5,6,2,0,1,Rec Speed,4,Wide Area,2,Precision,1,Faint,-2,,,3350,Flabby Hide,2,Iron Ore,8,Rubbery Hide,1,,,,,,
39,Hermitaur Tasset,WAIST,Male/Female,Blademaster,1,3,3,32,106,-3,3,-4,0,1,1,Defense,3,Guard,1,Throw,2,ThunderRes,-3,,,3350,Hermitaur Shell,3,Sm Hermitaur Shl,2,Sharp Claw,4,Sm Monster Bone,5,,,,
40,Hermitaur Coat,WAIST,Male/Female,Gunner,1,3,3,16,56,-1,5,-2,1,2,1,Defense,3,Guard Up,1,Throw,2,ThunderRes,-3,,,3350,Hermitaur Shell,3,Sm Hermitaur Shl,2,Sharp Claw,4,Sm Monster Bone,5,,,,
41,Lobster Coil,WAIST,Male/Female,Blademaster,1,3,3,34,106,-2,6,-6,2,-2,1,Evade,3,Fishing,3,Water Res,1,Guard,-2,,,4150,Sm Lobstershell,2,Plesioth Fin,1,Earth Crystal,3,Bulldrome Hide,2,,,,
42,Lobster Coat,WAIST,Male/Female,Gunner,1,3,3,17,57,0,6,-5,3,0,1,Evade,3,Fishing,3,Water Res,1,Precision,-2,,,4150,Sm Lobstershell,2,Plesioth Fin,1,Earth Crystal,3,Bulldrome Hide,2,,,,
43,Kut-Ku Tasset D,WAIST,Male/Female,Blademaster,1,3,3,22,106,2,-2,0,-2,-1,1,Attack,2,Expert,2,ElementAtk,2,Rec Speed,-2,Health,-1,1650,Blue Kut-Ku Scl,2,Blue Kut-Ku Shl,3,Bullfango Pelt,1,Med Monster Bone,1,,,,
44,Kut-Ku Coat D,WAIST,Male/Female,Gunner,1,3,3,10,56,5,1,3,-1,0,1,Attack,2,Expert,2,ElementAtk,2,Rec Speed,-2,Health,-1,1650,Blue Kut-Ku Scl,2,Blue Kut-Ku Shl,3,Bullfango Pelt,1,Med Monster Bone,1,,,,
45,Gypceros Tasset D,WAIST,Male/Female,Blademaster,2,3,3,28,106,-4,1,4,1,0,2,Faint,3,Wide Area,2,WindPress,1,Fate,-1,,,2850,Pur Rubbery Hide,2,Antiseptic Stone,2,Poison Sac,1,,,,,,
46,Gypceros Coat D,WAIST,Male/Female,Gunner,2,3,3,14,56,-1,4,6,3,0,1,Faint,3,Wide Area,2,WindPress,2,Fate,-2,,,2850,Pur Rubbery Hide,2,Antiseptic Stone,2,Poison Sac,1,,,,,,
47,Khezu Tasset D,WAIST,Male/Female,Blademaster,2,4,3,30,106,3,-3,4,0,0,2,Recovery,2,Wide Area,3,SwdShrpner,-2,,,,,3350,Alluring Hide,2,Iron Ore,8,Rubbery Hide,1,,,,,,
48,Khezu Coat D,WAIST,Male/Female,Gunner,2,4,3,14,56,5,-1,6,1,0,2,Recovery,2,Wide Area,3,MixSucRate,-2,,,,,3350,Alluring Hide,2,Iron Ore,8,Rubbery Hide,1,,,,,,
49,Basarios Tasset,WAIST,Male/Female,Blademaster,2,4,4,32,106,0,2,2,1,-2,1,Terrain,2,Sleep,3,Whim,2,Defense,1,Faint,-1,3350,Basarios Shell,4,Machalite Ore,7,Iron Ore,6,Genprey Hide,3,,,,
50,Basarios Coat,WAIST,Male/Female,Gunner,2,4,4,16,56,2,4,4,2,0,1,Terrain,2,Sleep,3,Whim,2,Defense,1,Faint,-1,3350,Basarios Shell,4,Machalite Ore,7,Iron Ore,6,Genprey Hide,3,,,,
51,Monoblos Coil,WAIST,Male/Female,Blademaster,10,4,4,36,106,2,-1,-2,-1,-1,1,Attack,2,Potential,2,Health,3,Protection,-2,,,4900,Monoblos Spine,3,Blood Red Horn,1,Monoblos Shell,2,Lg Monster Bone,4,,,,
52,Monoblos Coat,WAIST,Male/Female,Gunner,10,4,4,18,56,4,2,0,0,0,1,Attack,2,Potential,2,Health,3,Protection,-2,,,4900,Monoblos Spine,3,Blood Red Horn,1,Monoblos Shell,2,Lg Monster Bone,4,,,,
53,Garuga Tasset,WAIST,Male/Female,Blademaster,10,4,4,36,106,2,0,2,0,0,2,Sharpness,2,Expert,2,HearProtct,1,Gathering,-2,,,4900,Garuga Scale,4,Garuga Shell,5,Killer Beetle,2,Lg Monster Bone,2,,,,
54,Garuga Coat,WAIST,Male/Female,Gunner,10,4,4,18,56,3,2,3,1,0,2,PierceSAdd,2,Expert,2,HearProtct,1,Gathering,-2,,,4900,Garuga Scale,4,Garuga Shell,5,Killer Beetle,2,Lg Monster Bone,2,,,,
55,Blango Tasset,WAIST,Male/Female,Blademaster,2,4,4,36,106,-4,2,0,3,1,1,Cold Res,3,Snow Res,2,Quake Res,2,Terrain,-2,,,4900,Blango Pelt,4,Giadrome Hide,2,Brute Bone,2,Giant Bone,2,,,,
56,Blango Coat,WAIST,Male/Female,Gunner,2,4,4,18,56,-3,4,1,5,2,1,Cold Res,3,Snow Res,2,Quake Res,2,Terrain,-2,,,4900,Blango Pelt,4,Giadrome Hide,2,Brute Bone,2,Giant Bone,2,,,,
57,Ceanataur Tasset,WAIST,Male/Female,Blademaster,2,4,4,37,107,1,2,-1,-1,0,2,Sharpness,2,SwdShrpner,2,Artisan,1,Defense,-2,,,5200,Sm Ceanataur Shl,4,Ceanataur Shell,2,Machalite Ore,2,Killer Beetle,1,,,,
58,Ceanataur Coat,WAIST,Male/Female,Gunner,2,4,4,18,56,2,4,0,0,2,1,PierceS Up,3,Precision,2,PierceSAdd,1,Defense,-3,,,5200,Sm Ceanataur Shl,4,Ceanataur Shell,2,Machalite Ore,2,Killer Beetle,1,,,,
59,Rathian Tasset,WAIST,Male/Female,Blademaster,1,6,4,38,108,2,0,-2,0,-4,2,Health,3,Poison,2,Faint,-1,PsychicVis,1,,,5350,Rathian Shell,3,Rathian Scale,2,Carpenterbug,4,Dragonite Ore,2,,,,
60,Rathian Coat,WAIST,Male/Female,Gunner,1,6,4,18,58,4,2,0,2,-2,1,Health,3,Poison,2,Faint,-1,PsychicVis,3,,,5350,Rathian Shell,3,Rathian Scale,2,Carpenterbug,4,Dragonite Ore,2,,,,
61,Tigrex Tasset,WAIST,Male/Female,Blademaster,3,5,4,40,108,3,2,-2,3,-1,1,Cooking,2,HearProtct,2,Protection,-2,PsychicVis,3,,,5800,Tigrex Fang,3,Tigrex Scale,4,Tigrex Shell,2,Killer Beetle,2,,,,
62,Tigrex Coat,WAIST,Male/Female,Gunner,3,5,4,20,58,4,3,-1,4,0,1,Cooking,2,HearProtct,2,Protection,-2,PsychicVis,3,,,5800,Tigrex Fang,3,Tigrex Scale,4,Tigrex Shell,2,Killer Beetle,2,,,,
63,Rathalos Tasset,WAIST,Male/Female,Blademaster,1,6,4,40,108,2,-1,2,-3,-4,1,Attack,4,PsychicVis,2,Paralysis,-2,Rec Speed,1,,,5800,Fire Wyvern Claw,2,Rathalos Scale,2,Rathalos Shell,3,Lg Monster Bone,2,,,,
64,Rathalos Coat,WAIST,Male/Female,Gunner,1,6,4,20,58,4,0,5,-1,-2,1,Attack,4,PsychicVis,2,Paralysis,-2,Rec Speed,1,,,5800,Fire Wyvern Claw,2,Rathalos Scale,2,Rathalos Shell,3,Lg Monster Bone,2,,,,
65,Diablo Coil,WAIST,Male/Female,Blademaster,3,5,4,40,108,3,-1,1,-2,0,2,WindPress,2,Expert,2,Health,-2,Fate,-1,,,5800,Diablos Spine,2,Diablos Shell,2,Monster Bone+,1,,,,,,
66,Diablo Coat,WAIST,Male/Female,Gunner,3,5,4,20,58,5,2,4,-1,0,1,WindPress,2,Expert,4,Health,-2,Fate,-1,,,5800,Diablos Spine,2,Diablos Shell,2,Monster Bone+,1,,,,,,
67,Gravios Tasset,WAIST,Male/Female,Blademaster,3,5,4,40,108,2,-2,2,0,-2,1,Guard,2,Sleep,4,Stamina,-2,Defense,1,,,5800,Gravios Shell,4,Hercudrome,3,Monster Bone+,2,Ioprey Hide,3,,,,
68,Gravios Coat,WAIST,Male/Female,Gunner,3,5,4,20,58,4,1,3,1,0,1,ClustS Add,4,Sleep,3,Stamina,-2,,,,,5800,Gravios Shell,4,Hercudrome,3,Monster Bone+,2,Ioprey Hide,3,,,,
69,Diablo Coil D,WAIST,Male/Female,Blademaster,3,5,4,38,108,3,-1,1,-2,0,2,WindPress,3,Sharpness,2,Fate,-1,Defense,-1,,,5800,Black Blos Spine,2,Black Blos Shell,2,Monster Bone+,1,,,,,,
70,Diablo Coat D,WAIST,Male/Female,Gunner,3,5,4,18,58,5,2,4,-1,0,1,WindPress,3,Reload,2,Fate,-3,Hunger,-1,,,5800,Black Blos Spine,2,Black Blos Shell,2,Monster Bone+,1,,,,,,
71,Gravios Tasset D,WAIST,Male/Female,Blademaster,3,5,4,38,108,2,-2,2,1,0,2,Guard Up,2,Defense,3,Hunger,-2,,,,,5800,Blk Gravios Shl,4,Hercudrome,3,Monster Bone+,2,Machalite Ore,4,,,,
72,Gravios Coat D,WAIST,Male/Female,Gunner,3,5,4,18,58,4,1,3,2,0,2,Guard Up,2,Defense,3,Hunger,-2,,,,,5800,Blk Gravios Shl,4,Hercudrome,3,Monster Bone+,2,Machalite Ore,4,,,,
73,Mosswine Hip,WAIST,Male/Female,Blademaster/Gunner,1,2,5,3,55,0,0,0,0,0,1,Gluttony,2,Cooking,2,Health,2,Hunger,-3,,,100,Mosswine Hide,2,Bullfango Pelt,1,Bulldrome Hide,1,Carpenterbug,1,,,,
74,Bistro Apron,WAIST,Male/Female,Blademaster/Gunner,1,3,5,20,56,2,2,2,2,2,0,Cooking,2,BBQ,5,Gluttony,4,,,,,1150,FlynMealPassReg,1,Cold Meat,10,Flabby Hide,4,,,,,,
75,Black Belt Tasset,WAIST,Male/Female,Blademaster/Gunner,1,3,5,20,56,2,2,2,2,2,1,Artisan,2,Capacity,2,Gluttony,3,Map,-2,,,3300,Daimyo Coin,10,Blackbelt Ticket,8,Killer Beetle,2,Cephadrome Coin,8,,,,
76,Shinobi Belt (Sun),WAIST,Male/Female,Blademaster/Gunner,3,6,5,20,56,2,-6,4,-3,2,1,Evade,3,ElementAtk,2,Cold Res,-2,Throw,2,,,9800,Gaoren Spine,1,Blackbelt Ticket,3,Pokke Ticket,1,Azure Rthlos Scl,5,,,,
77,Shinobi Belt (Moon),WAIST,Male/Female,Blademaster/Gunner,3,6,5,20,56,2,-6,4,-3,2,1,Hunger,4,Sneak,2,Heat Res,-2,PsychicVis,1,,,9800,Gaoren Spine,1,Blackbelt Ticket,3,Pokke Ticket,1,Azure Rthlos Scl,5,,,,
78,Guild Knight Coat,WAIST,Male,Blademaster/Gunner,3,4,5,20,56,0,0,0,0,0,1,Whim,3,Fate,2,PsychicVis,2,BBQ,-2,,,9800,Commendation,1,Great Hornfly,4,FlynMealPassReg,1,Plesioth Coin,3,,,,
79,Maiden's Skirt,WAIST,Female,Blademaster/Gunner,3,4,5,20,56,0,0,0,0,0,1,Whim,3,Fate,2,PsychicVis,2,BBQ,-2,,,9800,Commendation,1,Great Hornfly,4,FlynMealPassReg,1,Plesioth Coin,3,,,,
80,Guild Knight Kilt,WAIST,Male,Blademaster/Gunner,8,4,5,20,56,0,0,0,0,0,1,Carving,3,PelletS Up,2,Precision,2,Fate,-2,,,9800,Commendation,1,Great Hornfly,4,FlynMealPassReg,1,Cephadrome Coin,3,,,,
81,Personal Frills,WAIST,Female,Blademaster/Gunner,2,4,5,20,56,0,0,0,0,0,1,Carving,3,PelletS Up,2,Precision,2,Fate,-2,,,9800,Commendation,1,Great Hornfly,4,FlynMealPassReg,1,Cephadrome Coin,3,,,,
82,Guardian Coil,WAIST,Male,Blademaster/Gunner,3,4,5,20,56,0,0,0,0,0,1,Protection,2,Gunnery,3,Fate,2,Gathering,-2,,,9800,Lightcrystal,2,Great Hornfly,4,Blackbelt Ticket,2,Yian Garuga Coin,3,,,,
83,Helper Skirt,WAIST,Female,Blademaster/Gunner,3,4,5,20,56,0,0,0,0,0,1,Protection,2,Gunnery,3,Fate,2,Gathering,-2,,,9800,Lightcrystal,2,Great Hornfly,4,Blackbelt Ticket,2,Yian Garuga Coin,3,,,,
84,Guardian Coat,WAIST,Male,Blademaster/Gunner,8,4,5,20,56,0,0,0,0,0,2,Protection,2,Wide Area,3,Fate,1,Gathering,-1,,,9800,Lightcrystal,2,Great Hornfly,4,Blackbelt Ticket,2,Blangonga Coin,3,,,,
85,Healer Frills,WAIST,Female,Blademaster/Gunner,2,4,5,20,56,0,0,0,0,0,2,Protection,2,Wide Area,3,Fate,1,Gathering,-1,,,9800,Lightcrystal,2,Great Hornfly,4,Blackbelt Ticket,2,Blangonga Coin,3,,,,
86,Remobra Belt,WAIST,Male/Female,Blademaster/Gunner,3,4,5,24,58,0,-1,-1,-1,-1,0,Torso Inc,,,,,,,,,,1650,Remobra Skin,4,Eldr Dragon Bone,1,Monster Fluid,3,Dragonite Ore,2,,,,
87,Melahoa Skirt,WAIST,Male/Female,Blademaster,1,2,5,20,106,0,1,1,0,0,1,Gathering,3,HiSpdGathr,2,Stamina,1,Hunger,-1,Recovery,2,1150,Dosbiscus,3,Godbug,4,Sleep Herb,2,Armorskin,3,,,,
88,Melahoa Trunk,WAIST,Male/Female,Gunner,1,2,5,10,56,0,2,1,0,0,1,Gathering,3,HiSpdGathr,2,Stamina,1,Hunger,-1,Recovery,2,1150,Dosbiscus,3,Godbug,4,Sleep Herb,2,Armorskin,3,,,,
89,Makluva Coat,WAIST,Male/Female,Blademaster,1,2,5,28,106,0,2,-2,0,0,1,Alchemy,2,MixSucRate,3,Fishing,2,Spc Attack,2,,,2350,Springnight Carp,3,Cephalos Scale,3,Small Goldenfish,2,Book of Combos 1,1,,,,
90,Makluva Fin,WAIST,Male/Female,Gunner,1,2,5,16,56,0,3,-1,0,0,1,Alchemy,2,MixSucRate,3,Fishing,2,Spc Attack,2,,,2350,Springnight Carp,3,Cephalos Scale,3,Small Goldenfish,2,Book of Combos 1,1,,,,
91,Hypno Tasset,WAIST,Male/Female,Blademaster,7,10,5,32,106,-2,2,0,1,1,1,Sleep,2,Tranquilzr,4,Perceive,1,Sneak,-2,,,3350,Hypno Ticket,1,OrangeHypnoPelt+,3,RainbowTailFeath,3,Sharp Claw,2,,,,
92,Hypno Coat,WAIST,Male/Female,Gunner,7,10,5,16,56,0,4,2,3,2,1,SleepCAdd,2,Tranquilzr,4,Perceive,1,Sneak,-2,,,3350,Hypno Ticket,1,OrangeHypnoPelt+,3,RainbowTailFeath,3,Sharp Claw,2,,,,
93,Obituary Anca,WAIST,Male,Blademaster,1,3,5,32,106,3,-5,3,-4,2,2,Evade,2,Spc Attack,2,Gathering,2,Cold Res,-1,,,3350,Great Hornfly,2,Hercudrome,2,Pale Extract,3,Great Ladybug,3,,,,
94,Butterfly Anca,WAIST,Female,Blademaster,1,3,5,32,106,3,-5,3,-4,2,2,Evade,2,Spc Attack,2,Gathering,2,Cold Res,-1,,,3350,Great Hornfly,2,Hercudrome,2,Pale Extract,3,Great Ladybug,3,,,,
95,Obituary Cocusa,WAIST,Male,Gunner,1,3,5,16,56,4,-4,5,-3,2,1,Evade,3,Spc Attack,2,Gathering,3,Cold Res,-1,,,3350,Great Hornfly,2,Hercudrome,2,Pale Extract,3,Great Ladybug,3,,,,
96,Butterfly Cocusa,WAIST,Female,Gunner,1,3,5,16,56,4,-4,5,-3,2,1,Evade,3,Spc Attack,2,Gathering,3,Cold Res,-1,,,3350,Great Hornfly,2,Hercudrome,2,Pale Extract,3,Great Ladybug,3,,,,
97,Black Spine,WAIST,Male/Female,Blademaster,10,5,5,36,106,0,2,2,2,-5,3,,,,,,,,,,,11111,Dark Stone,1,Dark Piece,3,Ancient Potion,1,FireWyvern Fluid,3,,,,
98,Black Scale,WAIST,Male/Female,Gunner,10,5,5,18,56,2,4,4,3,-2,3,,,,,,,,,,,11111,Dark Stone,1,Dark Piece,3,Ancient Potion,1,FireWyvern Fluid,3,,,,
99,Death Stench Bowels,WAIST,Male/Female,Blademaster,3,4,5,40,108,2,1,1,-1,0,1,Fencing,2,Sneak,2,Health,-5,,,,,5800,Sinister Cloth,2,Striped Skin,3,Monster Bone+,2,Eldr Dragon Bone,1,,,,
100,Death Stench Belly,WAIST,Male/Female,Gunner,3,4,5,20,58,3,2,2,0,1,1,AutoReload,2,Crag S Add,2,Health,-5,,,,,5800,Sinister Cloth,2,Striped Skin,3,Monster Bone+,2,Eldr Dragon Bone,1,,,,
101,Lava Tasset,WAIST,Male/Female,Blademaster,7,10,5,40,108,4,-3,0,0,1,1,Terrain,3,Rec Speed,2,Guard,2,Faint,-2,,,5800,Lavasioth Ticket,1,ThckLavasiothScl,3,HvyLavasiothShl,2,Firestone,1,,,,
102,Lava Coat,WAIST,Male/Female,Gunner,7,10,5,20,58,5,-1,2,2,2,1,Terrain,3,Rec Speed,2,Recoil,2,Faint,-2,,,5800,Lavasioth Ticket,1,ThckLavasiothScl,3,HvyLavasiothShl,2,Firestone,1,,,,
103,Mizuha Sash,WAIST,Male/Female,Blademaster,3,5,5,40,108,-4,3,0,4,-1,1,WindPress,4,HearProtct,2,Terrain,-3,,,,,9000,Chameleos Tail,1,Chameleos Hide,2,Eldr Dragon Bone,4,Lightcrystal,1,,,,
104,Extravagant Coat,WAIST,Male/Female,Gunner,3,5,5,20,58,-3,4,1,5,0,1,WindPress,4,HearProtct,2,Terrain,-3,,,,,9000,Chameleos Tail,1,Chameleos Hide,2,Eldr Dragon Bone,4,Lightcrystal,1,,,,
